# mapping_set_id: https://w3id.org/cdif/mappings/ddi25-to-cdif
# mapping_set_title: DDI Codebook 2.5 (extensions beyond common core) to CDIF
# mapping_set_description: Literal fields present in DDI Codebook 2.5 (codebook.xsd) but NOT in 1.2.2 (chiefly the nCube aggregate-cube branch). Extends ddi-common-to-cdif; merge the two for the full 2.5 crosswalk. Applied by DDI/ddi_to_cdif.py and DDICodebook/ddi25_to_cdif.py.
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://cross-domain-interoperability-framework.github.io/
# mapping_tool: converters/DDICodebook/ddi25_to_cdif.py ; converters/DDI/ddi_to_cdif.py
# mapping_date: 2026-08-24
# subject_source: https://ddialliance.org/Specification/DDI-Codebook/2.5/XMLSchema/codebook.xsd
# object_source: https://w3id.org/cdif/complete/1.1
# mapping_justification: semapv:ManualMappingCuration
# extension_definitions:
#   - slot: object_json_path
#     property: https://w3id.org/cdif/mappings/objectJsonPath
# curie_map:
#   cdi: http://ddialliance.org/Specification/DDI-CDI/1.0/RDF/
#   dcterms: http://purl.org/dc/terms/
#   ddi: https://ddialliance.org/Specification/DDI-Codebook/2.5/element/
#   dqv: http://www.w3.org/ns/dqv#
#   geo: http://www.opengis.net/ont/geosparql#
#   prov: http://www.w3.org/ns/prov#
#   schema: http://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# comment: |
#   VERSION EXTRAS for DDI 2.5: literal fields that exist in 2.5 but not 1.2.2.
#   subject_id uses the `ddi:` (2.5) prefix. The shared core lives in
#   ddi-common-to-cdif.sssom.tsv (ddicb:); for the complete 2.5 field inventory:
#     sssom merge ddi-common-to-cdif.sssom.tsv ddi25-to-cdif.sssom.tsv
#   Unmapped rows carry a blank object_id/predicate for review.
subject_id	subject_label	comment	predicate_id	object_id	object_label	object_json_path	mapping_justification
ddi:stdyDscr.citation.rspStmt.othId	othId	DDI 2.5: responsibility statement - other contributors/acknowledgements for the study whose role is secondary to the primary author (AuthEnty), e.g. editors, sponsors	skos:closeMatch	schema:identifier	contributorID	$.schema:contributor[role=contributor].person.identifier	semapv:ManualMappingCuration
ddi:stdyDscr.studyAuthorization.authorizingAgency	authorizingAgency	DDI 2.5 (imported from DDI Lifecycle): the agency or person that authorized/approved the study	skos:closeMatch	schema:name	authorizingOrganization	$.schema:contributor[role=Authorization].organization.name	semapv:ManualMappingCuration
ddi:stdyDscr.studyAuthorization.authorizationStatement	authorizationStatement	DDI 2.5 (imported from DDI Lifecycle): the text of the authorization granted for the study	skos:closeMatch	schema:conditionsOfAccess	AuthorizationStatement	$.schema:conditionsOfAccess.schema:string	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.studyBudget	studyBudget	DDI 2.5 (imported from DDI Lifecycle): description of the budget for the study/data collection	skos:closeMatch	schema:funding	studyBudget	$.schema:funding.schema:description	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.geoBndBox.westBL	westBL	west bound -> min longitude in schema:GeoShape box 'S W N E'	skos:closeMatch	schema:box	box	$.schema:spatialCoverage[*].schema:geo.schema:box	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.geoBndBox.eastBL	eastBL	east bound -> max longitude in schema:GeoShape box	skos:closeMatch	schema:box	box	$.schema:spatialCoverage[*].schema:geo.schema:box	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.geoBndBox.southBL	southBL	south bound -> min latitude in schema:GeoShape box	skos:closeMatch	schema:box	box	$.schema:spatialCoverage[*].schema:geo.schema:box	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.geoBndBox.northBL	northBL	north bound -> max latitude in schema:GeoShape box	skos:closeMatch	schema:box	box	$.schema:spatialCoverage[*].schema:geo.schema:box	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.boundPoly.polygon.point.gringLat	gringLat	G-ring latitude -> vertex in GeoSPARQL WKT POLYGON (geo:wktLiteral)	skos:closeMatch	geo:asWKT	asWKT	$.schema:spatialCoverage[*].schema:geo.geo:asWKT	semapv:ManualMappingCuration
ddi:stdyDscr.stdyInfo.sumDscr.boundPoly.polygon.point.gringLon	gringLon	G-ring longitude -> vertex in GeoSPARQL WKT POLYGON (geo:wktLiteral)	skos:closeMatch	geo:asWKT	asWKT	$.schema:spatialCoverage[*].schema:geo.geo:asWKT	semapv:ManualMappingCuration
